gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
4168655303	7f707904-f762-11e1-a439-00145eb45e9a	8e8ff280f158f87a562b572a3b1b8ab4	Plantae	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Quercus	Quercus cualensis		SPECIES	Quercus cualensis L.M.González	Quercus (Quercus) cualensis	L.M. González, 2003	MX	camino Cuale-minas de Zimapán	Jalisco	PRESENT		ff90b050-c256-11db-b71b-b8a03c50a862	20.416667	-105.0	80.0		900.0	900.0	0.0	0.0	1987-05-24	24	5	1987	2880009	2880009	MATERIAL_CITATION	CUCBA-UDG	IBUG	NO DISPONIBLE		González-Villarreal		CC_BY_4_0	Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO)	González-Villarreal	HOLOTYPE		2024-01-24T20:39:55.580Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED;ELEVATION_MIN_MAX_SWAPPED;INSTITUTION_MATCH_NONE
4168655302	7f707904-f762-11e1-a439-00145eb45e9a	5a4d81aa7651e1ed76438871db5e1d98	Plantae	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Quercus	Quercus iltisii		SPECIES	Quercus iltisii L.M.González	Quercus (Quercus) iltisii	L.M. González, 2003	MX	km 6 from El Tuito along the rd. to Mina Zimapan	Jalisco	PRESENT		ff90b050-c256-11db-b71b-b8a03c50a862	20.366111	-105.2925	80.0		487.5	487.5	0.0	0.0	2000-06-12	12	6	2000	2879360	2879360	MATERIAL_CITATION	CUCBA-UDG	IBUG	NO DISPONIBLE		González-Villarreal		CC_BY_4_0	Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO)	González-Villarreal	HOLOTYPE		2024-01-24T20:39:53.357Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED;ELEVATION_MIN_MAX_SWAPPED;INSTITUTION_MATCH_NONE
4168655301	7f707904-f762-11e1-a439-00145eb45e9a	34c800fe9dfc5f192bf79291a23b0a95	Plantae	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Quercus	Quercus tuitensis		SPECIES	Quercus tuitensis L.M.González	Quercus (Quercus) tuitensis	L.M. González, 2003	MX	Km 23 E of El Tuito on the rd. to the Zimapan mines (turn off 5 km before El Tuito and ca. 34 km S of Puerto Vallarta, via Mex. Hwy. 200)	Jalisco	PRESENT		ff90b050-c256-11db-b71b-b8a03c50a862	20.387778	-105.194167	80.0		490.0	490.0	0.0	0.0	2000-06-12	12	6	2000	8960214	8960214	MATERIAL_CITATION	CUCBA-UDG	IBUG	NO DISPONIBLE		González-Villarreal		CC_BY_4_0	Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO)	González-Villarreal	HOLOTYPE		2024-01-24T20:39:30.742Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED;ELEVATION_MIN_MAX_SWAPPED;INSTITUTION_MATCH_NONE
2630431315	7f707904-f762-11e1-a439-00145eb45e9a	eca4c9a95a82218c88b54a084beb65c0	Plantae	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Quercus	Quercus confertifolia	confertifolia	FORM	Quercus mexicana f. confertifolia (Bonpl.) Trel.	Quercus (Quercus) mexicana f. confertifolia	(Bonpl.) Trel., 1924	MX	Sta. Rosa	Guanajuato	PRESENT		ff90b050-c256-11db-b71b-b8a03c50a862	21.540833	-101.106944	80.0		0.0	0.0	0.0	0.0					6289760	2878551	MATERIAL_CITATION	MNHN	P	NO DISPONIBLE		NO DISPONIBLE		CC_BY_4_0	Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO)	Bonpl.	HOLOTYPE		2024-01-24T20:39:36.742Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
2630431314	7f707904-f762-11e1-a439-00145eb45e9a	2f68f40607001b11be4b452038b37ac6	Plantae	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Quercus	Quercus castanea		SPECIES	Quercus alamosensis Trel.	Quercus (Quercus) alamosensis	Trel., 1924	MX	Región de los Alamos Sonora	Sonora	PRESENT	1	ff90b050-c256-11db-b71b-b8a03c50a862	27.0	-109.0	60.0		0.0	0.0	0.0	0.0					2879136	2879127	HUMAN_OBSERVATION	UAZ	ARIZ	323771		NO DISPONIBLE		CC_BY_4_0	Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO)	Palmer	ISOTYPE		2024-01-24T20:39:53.931Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2630431313	7f707904-f762-11e1-a439-00145eb45e9a	a114ff90f3faf2fb0d0f8288f981f02b	Plantae	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Quercus	Quercus diversifolia		SPECIES	Quercus ambigua Bonpl.	Quercus (Quercus) ambigua	Humb. & Bonpl., 1809	MX	Moran	Hidalgo	PRESENT		ff90b050-c256-11db-b71b-b8a03c50a862	20.151389	-98.6625	80.0		1300.0	1300.0	0.0	0.0					8151641	2879380	MATERIAL_CITATION	MNHN	P	NO DISPONIBLE		NO DISPONIBLE		CC_BY_4_0	Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO)	Bonpl.	HOLOTYPE		2024-01-24T20:39:50.215Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED;ELEVATION_MIN_MAX_SWAPPED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
2630431312	7f707904-f762-11e1-a439-00145eb45e9a	204b94de4f13a76b64dd4551195a2f3f	Plantae	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Quercus	Quercus diversifolia		SPECIES	Quercus bonplandiana Sweet	Quercus (Quercus) bonplandiana	Sweet, 1826	MX	Moran	Hidalgo	PRESENT		ff90b050-c256-11db-b71b-b8a03c50a862	20.151389	-98.6625	80.0		1050.0	1050.0	0.0	0.0					2879381	2879380	MATERIAL_CITATION	MNHN	P	NO DISPONIBLE		NO DISPONIBLE		CC_BY_4_0	Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO)	Bonpl.	HOLOTYPE		2024-01-24T20:39:49.841Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED;ELEVATION_MIN_MAX_SWAPPED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
2630431311	7f707904-f762-11e1-a439-00145eb45e9a	065a409765db344c4959b5a08a3e86e6	Plantae	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Quercus	Quercus crassifolia		SPECIES	Quercus stipularis Humb. & Bonpl.	Quercus (Quercus) stipularis	Humb. & Bonpl., 1809	MX	near of Actopan	Hidalgo	PRESENT		ff90b050-c256-11db-b71b-b8a03c50a862	20.281944	-98.942222	80.0		0.0	0.0	0.0	0.0					2879119	2878540	MATERIAL_CITATION	MNHN	P	NO DISPONIBLE		NO DISPONIBLE		CC_BY_4_0	Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO)	Bonpl.	HOLOTYPE		2024-01-24T20:40:00.059Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
2630431310	7f707904-f762-11e1-a439-00145eb45e9a	a33f01fc0cf44fec7c5efcc50d44cc38	Plantae	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Quercus	Quercus glaucoides		SPECIES	Quercus harmsiana Trel.	Quercus (Quercus) harmsiana	Trel., 1924	MX	Ario de Rosales	Michoacan de ocampo	PRESENT		ff90b050-c256-11db-b71b-b8a03c50a862	19.208889	-101.685556	90.0		1000.0	1000.0	0.0	0.0	1906-08-01	1	8	1906	2879458	2879457	MATERIAL_CITATION	MNHN	P	NO DISPONIBLE		NO DISPONIBLE		CC_BY_4_0	Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO)	Endl.	HOLOTYPE		2024-01-24T20:39:41.671Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED;ELEVATION_MIN_MAX_SWAPPED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
2630431309	7f707904-f762-11e1-a439-00145eb45e9a	0e6f1dd73763a7f9ce9b40639fe7330f	Plantae	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Quercus	Quercus castanea		SPECIES	Quercus pulchella Bonpl.	Quercus (Quercus) pulchella	Humb. & Bonpl., 1809	MX	Sta. Rosa	Guanajuato	PRESENT	1	ff90b050-c256-11db-b71b-b8a03c50a862	21.540833	-101.106944	80.0		0.0	0.0	0.0	0.0					8346622	2879127	MATERIAL_CITATION	MNHN	P	NO DISPONIBLE		NO DISPONIBLE		CC_BY_4_0	Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO)	Bonpl.	HOLOTYPE		2024-01-24T20:40:03.124Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
2630431308	7f707904-f762-11e1-a439-00145eb45e9a	cc96578cb3b1d3051310cd2fcf7867e4	Plantae	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Quercus	Quercus sideroxyla		SPECIES	Quercus sideroxyla Bonpl.	Quercus (Quercus) sideroxyla	Bonpl., 1809	MX	Sta. Rosa	Guanajuato	PRESENT		ff90b050-c256-11db-b71b-b8a03c50a862	21.540833	-101.106944	80.0		0.0	0.0	0.0	0.0					2880775	2880775	MATERIAL_CITATION	MNHN	P	NO DISPONIBLE		NO DISPONIBLE		CC_BY_4_0	Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO)	Bonpl.	HOLOTYPE		2024-01-24T20:39:52.481Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
2630431307	7f707904-f762-11e1-a439-00145eb45e9a	89b38bb2e24576f76875596ac4376129	Plantae	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Quercus	Quercus xalapensis		SPECIES	Quercus xalapensis Bonpl.	Quercus (Quercus) xalapensis	Bonpl., 1809	MX	JALAPA	Veracruz de ignacio de la llave	PRESENT		ff90b050-c256-11db-b71b-b8a03c50a862	19.568889	-96.948056	80.0		0.0	0.0	0.0	0.0					2880707	2880707	MATERIAL_CITATION	MNHN	P	NO DISPONIBLE		NO DISPONIBLE		CC_BY_4_0	Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO)	Bonpl.	HOLOTYPE		2024-01-24T20:39:33.004Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
2630431306	7f707904-f762-11e1-a439-00145eb45e9a	f79388ac2a30ec6c184eca237014b8c2	Plantae	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Quercus	Quercus repanda		SPECIES	Quercus repanda Bonpl.	Quercus (Quercus) repanda	Humb. & Bonpl., 1809	MX	El Jacal, Moran	Hidalgo	PRESENT		ff90b050-c256-11db-b71b-b8a03c50a862	20.151389	-98.2	80.0		1258.0	1258.0	0.0	0.0					2879557	2879557	MATERIAL_CITATION	MNHN	P	NO DISPONIBLE		NO DISPONIBLE		CC_BY_4_0	Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO)	Bonpl.	HOLOTYPE		2024-01-24T20:39:31.877Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED;ELEVATION_MIN_MAX_SWAPPED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
2630431305	7f707904-f762-11e1-a439-00145eb45e9a	921a20407b0bd958f691c2468f648a1e	Plantae	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Quercus	Quercus obtusata		SPECIES	Quercus spicata Bonpl.	Quercus (Quercus) spicata	Humb. & Bonpl., 1809	MX	Cerro de las Navajas	Hidalgo	PRESENT		ff90b050-c256-11db-b71b-b8a03c50a862	20.418611	-98.578056	80.0		3000.0	100.0	0.0	0.0					2876835	2880060	MATERIAL_CITATION	MNHN	P	NO DISPONIBLE		NO DISPONIBLE		CC_BY_4_0	Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO)	Bonpl.	HOLOTYPE		2024-01-24T20:39:31.360Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
2630431304	7f707904-f762-11e1-a439-00145eb45e9a	0e2bb79f3d9aa9666e1ba28f5b7bb604	Plantae	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Quercus	Quercus turbinella		SPECIES	Quercus subturbinella Trel.	Quercus (Quercus) subturbinella	Trel., 1924	US	Arizona, Peach Spring	Arizona	PRESENT		ff90b050-c256-11db-b71b-b8a03c50a862	33.208333	-110.641667			0.0	0.0	0.0	0.0					2878249	2878247	MATERIAL_CITATION	MNHN	P	NO DISPONIBLE		NO DISPONIBLE		CC_BY_4_0	Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO)	Green	HOLOTYPE		2024-01-24T20:39:48.628Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
2630431303	7f707904-f762-11e1-a439-00145eb45e9a	a709ac60c2f1f9cceb31c42aa4d55b0c	Plantae	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Quercus	Quercus confertifolia		SPECIES	Quercus confertifolia Bonpl.	Quercus (Quercus) confertifolia	Bonpl., 1809	MX	Sta. Rosa	Guanajuato	PRESENT		ff90b050-c256-11db-b71b-b8a03c50a862	21.540833	-101.106944	80.0		0.0	0.0	0.0	0.0					2878551	2878551	MATERIAL_CITATION	MNHN	P	NO DISPONIBLE		NO DISPONIBLE		CC_BY_4_0	Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO)	Bonpl.	HOLOTYPE		2024-01-24T20:39:56.580Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
2630431302	7f707904-f762-11e1-a439-00145eb45e9a	a94c3cebbb895d1db84a2610aad4ed24	Plantae	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Quercus	Quercus gambelii	novomexicana	VARIETY	Quercus douglasii var. novomexicana A.DC.	Quercus (Quercus) douglasii var. novomexicana	A. DC., 1864	US	Mountains above Santa Fe	New mexico	PRESENT		ff90b050-c256-11db-b71b-b8a03c50a862	37.116667	-104.283333			0.0	0.0	0.0	0.0					8396316	2878268	HUMAN_OBSERVATION	UAZ	ARIZ	294474		NO DISPONIBLE		CC_BY_4_0	Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO)	Fendler			2024-01-24T20:39:55.875Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED;TYPE_STATUS_INVALID
