Species Name,Distribution
Quercus acatenangensis,"MEXICO: (Oaxaca, Chiapas), CENTRAL AMERICA: GUATEMALA (Baja Verapaz, Chimaltenango, Guatemala, Huehuetenango, Jalapa, Quetzaltenango, Sacatepéquez, San Marcos, Sololá, Totonicapán, Zacapa), EL SALVADOR"
Quercus acherdophylla,MEXICO: (Veracruz)
Quercus aculcingensis,MEXICO: (Veracruz)
Quercus acutangula,MEXICO: (Guerrero)
Quercus acutifolia,"MEXICO: (Jalisco, Veracruz, Michoacán, México State, Guerrero, Oaxaca, Chiapas), CENTRAL AMERICA: GUATEMALA (Baja Verapaz, Chimaltenango, El Quiché, Guatemala, Huehuetenango, Jalapa, Quetzaltenango, Sacatepéquez, San Marcos, Santa Rosa, Sol"
Quercus aerea,"MEXICO: (Chihuahua, San Luis Potosí)"
Quercus affinis,"MEXICO: (Nuevo León, Tamaulipas, San Luis Potosí, Guanajuato, Querétaro, Hidalgo, Veracruz, Puebla, Guerrero, Oaxaca)"
Quercus agrifolia,"USA: (W & S California), MEXICO: (Baja California (Norte))"
Quercus agrifolia,"USA: (W & S California), MEXICO: (Baja California (Norte))"
Quercus agrifolia,"USA: (S California), MEXICO: (Baja California (Norte))"
Quercus ajoensis,"USA: (Arizona), MEXICO: (Baja California (Norte))"
Quercus albocincta,"MEXICO: (Sonora, Chihuahua, Sinaloa, Durango)"
Quercus alpescens,"MEXICO: (Nuevo León, Hidalgo)"
Quercus ariifolia,"MEXICO: Hidalgo, Nuevo León, Puebla, Queretaro, San Luis Potosi and Veracruz"
Quercus aristata,"MEXICO: (Sinaloa, Nayarit, Jalisco, Aguascalientes, Guanajuato, Guerrero)"
Quercus arizonica,"USA: (Arizona, New Mexico, W Texas), MEXICO: (Sonora, Chihuahua, Coahuila, Durango)"
Quercus ×basaseachicensis (Q. depressipes Trel. × Q. rugosa Née),"MEXICO: (Chihuahua, Durango)"
Quercus benthamii,"MEXICO: (Guerrero, Chiapas), CENTRAL AMERICA: GUATEMALA (Baja Verapaz, Chimaltenango, Jalapa, Jutiapa, Quetzaltenango, San Marcos, Sololá), EL SALVADOR, HONDURAS, NICARAGUA, COSTA RICA, PANAMA"
Quercus berberidifolia,"USA: (California), MEXICO: (Baja California (Norte))"
Quercus brachystachys,"MEXICO: (Chiapas), CENTRAL AMERICA: GUATEMALA (Chimaltenango, El Quiché, Guatemala, Huehuetenango, Jalapa, Quetzaltenango, Sacatepéquez)"
Quercus brandegeei,MEXICO: (Baja California Sur)
Quercus breedloveana,MEXICO: (Guerrero)
Quercus brenesii,"MEXICO: (Veracruz), CENTRAL AMERICA: NICARAGUA, COSTA RICA"
Quercus calophylla,"MEXICO: (Chihuahua, Sinaloa, W Durango, N Nayarit, Jalisco, Hidalgo, Veracruz, Michoacán, México State, México DF, Morelos, Puebla, Guerrero, Oaxaca, Chiapas), CENTRAL AMERICA: GUATEMALA (El Quiché, Huehuetenango, Jalapa, Sololá)"
Quercus canbyi,"USA: (Texas), MEXICO: (Coahuila, Neuvo León, Tamaulipas)"
Quercus canbyi,MEXICO:
Quercus carmenensis,"USA: (SW Texas), MEXICO: (Coahuila)"
Quercus castanea,"MEXICO: (SE Sonora, Sinaloa, W Durango, San Luis Potosí, Nayarit, Jalisco, Guanajuato, Querétaro, Hidalgo, Veracruz, Colima, Michoacán, México State, México DF, Morelos, Puebla, Guerrero, Oaxaca, Chiapas), CENTRAL AMERICA: EL SALVADOR"
Quercus castanea,MEXICO: (Zacatecas)
Quercus castanea,MEXICO:
Quercus cedrosensis,MEXICO: (Baja California (Norte): Isla de Cedros)
Quercus centenaria,"MEXICO: (Nayarit, Jalisco)"
Quercus charcasana,MEXICO: (San Luis Potosí)
Quercus chartacea,"MEXICO: (Oaxaca, Chiapas)"
Quercus chihuahuensis,"USA: (in hybrid swarms), MEXICO: (Sonora, W Chihuahua, Nuevo León, Sinaloa, W Durango, SW Zacatecas, San Luis Potosí, S Nayarit, N & NE Jalisco, Aguascalientes)"
Quercus chrysolepis,"USA: (Arizona, California, S Nevada, New Mexico, W Oregon), MEXICO: (Baja California (Norte), NW Chihuahua)"
Quercus coahuilensis,"MEXICO: (Chihuahua, Coahuila)"
Quercus coccolobifolia,"MEXICO: (San Luis Potosí, Guanajuato)"
Quercus coffeicolor,"MEXICO: (Sinaloa, Nayarit, Jalisco)"
Quercus confertifolia,"MEXICO: (Chihuahua, Sinaloa, SW Zacatecas, Durango, Nayarit, Jalisco, Aguascalientes, Guanajuato, Michoacán)"
Quercus convallata,"MEXICO: (Durango, Zacatecas, Nayarit, Jalisco)"
Quercus conzattii,"MEXICO: (Durango, Zacatecas, Nayarit, Jalisco, Oaxaca)"
Quercus conzattii,MEXICO: (Durango: Ferrería)
Quercus cornelius-mulleri,"USA: (California), MEXICO: (Baja California (Norte))"
Quercus cortesii,"MEXICO: (Puebla, Veracruz, Chiapas), CENTRAL AMERICA: BELIZE, GUATEMALA (Petén), HONDURAS, NICARAGUA, COSTA RICA, PANAMA"
Quercus crassifolia,"MEXICO: (Chihuahua, Durango, Zacatecas, San Luis Potosí, Jalisco, Guanajuato, Querétaro, Hidalgo, Veracruz, Michoacán, México State, México DF, Tlaxcala, Aguascalientes, Puebla, Guerrero, Oaxaca, Chiapas)"
Quercus crassipes,"MEXICO: (Jalisco, Guanajuato, Querétaro, Hidalgo, Colima, Michoacán, México State, México DF, Morelos, Tlaxcala, Puebla, Oaxaca)"
Quercus crassipes,MEXICO: (Puebla)
Quercus crassipes,MEXICO:
Quercus crispifolia,"MEXICO: (Guerrero, Oaxaca, Chiapas), CENTRAL AMERICA: GUATEMALA (Alta Verapaz, Chiquimula, Jalapa, San Marcos), EL SALVADOR"
Quercus crispipilis,"MEXICO: (Chiapas), CENTRAL AMERICA: GUATEMALA (Chimaltenango, El Quiché, Huehuetenango, Quetzaltenango, Sololá, Totonicapán)"
Quercus crispipilis,"MEXICO: (Chiapas), CENTRAL AMERICA: GUATEMALA (Chimaltenango, El Quiché, Huehuetenango, Quetzaltenango, Sololá, Totonicapán)"
Quercus crispipilis,"MEXICO: (Chiapas), CENTRAL AMERICA: GUATEMALA (Chimaltenango, El Quiché, Guatemala, Huehuetenango, Quetzaltenango)"
Quercus cualensis,MEXICO: (Jalisco)
Quercus cupreata,"MEXICO: (Described as a species from Sierra Madre Oriental, Nuevo León)"
Quercus delgadoana,"MEXICO: (Hidalgo, Puebla, Veracruz)"
Quercus delgadoana,MEXICO: (Veracruz)
Quercus deliquescens,MEXICO: (Chihuahua)
Quercus depressa,"MEXICO: (Hidalgo, Veracruz, Puebla, Oaxaca)"
Quercus depressipes,"USA: (W Texas), MEXICO: (Chihuahua, Durango, S Zacatecas, N Jalisco)"
Quercus deserticola,"MEXICO: (Jalisco, S Guanajuato, Querétaro, Hidalgo, Michoacán)"
Quercus devia,"MEXICO: (Baja California Sur: Sierra de la Laguna, Cape Reg.)"
Quercus diversifolia,"MEXICO: (México State, México DF, Puebla)"
Quercus dumosa,"USA: (S California), MEXICO: (Baja California (Norte))"
Quercus duratifolia,MEXICO: (Chiapas)
Quercus durifolia,"MEXICO: (Sonora, Chihuahua, Sinaloa, Durango)"
Quercus ×dysophylla (Q. crassifolia Bonpl. × Q. crassipes Bonpl.),"MEXICO: (Guanajuato, Querétaro, Hidalgo, Veracruz, Michoacán, México State, México DF, Tlaxcala)"
Quercus eduardi,"MEXICO: (Chihuahua, Tamaulipas, Durango, SW Zacatecas, San Luis Potosí, N Nayarit, Jalisco, Aguascalientes, Guanajuato, Querétaro, Hidalgo, Veracruz, Michoacán)"
Quercus edwardsiae,MEXICO: (Nuevo León)
Quercus elliptica,"MEXICO: (Sinaloa, Nayarit, Jalisco, Veracruz, Michoacán, México State, Guerrero, Oaxaca, Chiapas), CENTRAL AMERICA: BELIZE, GUATEMALA (Chiquimula, Huehuetenango, Zacapa), EL SALVADOR, HONDURAS, NICARAGUA"
Quercus emoryi,"USA: (Arizona, New Mexico, W Texas), MEXICO: (Sonora, Chihuahua, Coahuila, Nuevo León, Tamaulipas, Durango)"
Quercus engelmannii,"USA: (S California), MEXICO: (Baja California (Norte))"
Quercus flagellifera,"MEXICO: (Chiapas), CENTRAL AMERICA: GUATEMALA (Alta Verapaz, Chiquimula, El Progreso, Huehuetenango, San Marcos, Sololá, Suchitepéquez)"
Quercus floccosa,MEXICO: (Veracruz)
Quercus flocculenta,MEXICO: (Nuevo León)
Quercus frutex,"MEXICO: (Hidalgo, Michoacán, México State, México DF, Tlaxcala, Puebla, Oaxaca)"
Quercus fulva,"MEXICO: (Chihuahua, Sinaloa, Nuevo León, Durango, Nayarit, Jalisco)"
Quercus furfuracea,"MEXICO: (San Luis Potosí, Puebla)"
Quercus fusiformis,"USA: (SW Oklahoma, Texas), MEXICO: (Coahuila, Nuevo León, Tamaulipas)"
Quercus galeanensis,MEXICO: (Nuevo León)
Quercus galeottii,MEXICO: (Veracruz)
