verbatim_name,match_status,accepted_name,usageKey,confidence
Quercus L.,ACCEPTED,Quercus,2877951,98
Quercus trinitatis Trel.,SYNONYM,Quercus trinitatis,2878623,100
Quercus tuitensis L.M.González,ACCEPTED,Quercus tuitensis,8960214,100
Quercus iltisii L.M.González,ACCEPTED,Quercus iltisii,2879360,100
Quercus rugosa Née,ACCEPTED,Quercus rugosa,8386328,100
Quercus emoryi Torr.,ACCEPTED,Quercus emoryi,2878171,100
Quercus rysophylla Weath.,ACCEPTED,Quercus rysophylla,2879735,100
Quercus crassifolia Bonpl.,ACCEPTED,Quercus crassifolia,2878540,100
Quercus oleoides Schltdl. & Cham.,ACCEPTED,Quercus oleoides,2878086,100
Quercus lancifolia Schltdl. & Cham.,ACCEPTED,Quercus lancifolia,2877988,100
Quercus obtusata Bonpl.,ACCEPTED,Quercus obtusata,2880060,100
Quercus glabrescens Benth.,ACCEPTED,Quercus glabrescens,2879281,100
Quercus polymorpha Schltdl. & Cham.,ACCEPTED,Quercus polymorpha,2878068,100
Quercus frutex Trel.,ACCEPTED,Quercus frutex,2878230,100
Quercus laurina Bonpl.,ACCEPTED,Quercus laurina,2878632,100
Quercus caudicans Née,DOUBTFUL,Quercus caudicans,8346868,100
Quercus endlichiana Trel.,SYNONYM,Quercus endlichiana,2880329,100
Quercus pungens var. vaseyana (Buckley) C.H.Mull.,SYNONYM,Quercus pungens vaseyana,2879250,100
Quercus peduncularis Née,ACCEPTED,Quercus peduncularis,2880017,100
Quercus grisea Liebm.,ACCEPTED,Quercus grisea,2879358,100
Quercus greggii (A.DC.) Trel.,ACCEPTED,Quercus greggii,2879639,100
Quercus invaginata f. purpusiana Trel.,SYNONYM,Quercus invaginata purpusiana,2879038,100
Quercus castanea Née,ACCEPTED,Quercus castanea,2879127,100
Quercus hypoleucoides A.Camus,ACCEPTED,Quercus hypoleucoides,2878550,100
Quercus laeta Liebm.,ACCEPTED,Quercus laeta,2879073,100
Quercus conzattii Trel.,ACCEPTED,Quercus conzattii,2878147,100
Quercus fulva Liebm.,ACCEPTED,Quercus fulva,2881100,100
Quercus conspersa Benth.,SYNONYM,Quercus conspersa,2878398,100
Quercus hartwegii Benth.,SYNONYM,Quercus hartwegii,2880071,100
Quercus macvaughii Spellenb.,ACCEPTED,Quercus macvaughii,2880358,100
Quercus mexicana Bonpl.,ACCEPTED,Quercus mexicana,2879574,100
Quercus arizonica Sarg.,ACCEPTED,Quercus arizonica,2877992,100
Quercus striatula Trel.,ACCEPTED,Quercus striatula,2880535,100
Quercus magnoliifolia Née,ACCEPTED,Quercus magnoliifolia,2879847,100
Quercus glaucoides M.Martens & Galeotti,ACCEPTED,Quercus glaucoides,2879457,100
Quercus laceyi Small,ACCEPTED,Quercus laceyi,2879361,100
Quercus invaginata Trel.,ACCEPTED,Quercus invaginata,2879037,100
Quercus endlichiana f. serrata C.H.Mull.,SYNONYM,Quercus endlichiana serrata,2880326,100
Quercus diversifolia Née,ACCEPTED,Quercus diversifolia,2879380,100
"Quercus pringlei Seemen, 1900",DOUBTFUL,Quercus pringlei,7607546,100
Quercus depressipes Trel.,ACCEPTED,Quercus depressipes,2878542,100
Quercus resinosa Liebm.,ACCEPTED,Quercus resinosa,2879646,100
Quercus tuberculata Liebm.,ACCEPTED,Quercus tuberculata,2879308,100
Quercus pungens var. pungens,SYNONYM,Quercus pungens pungens,4274895,98
Quercus scytophylla Liebm.,ACCEPTED,Quercus scytophylla,2879486,100
Quercus eduardi Trel.,ACCEPTED,Quercus eduardi,6045217,100
Quercus acutifolia Née,ACCEPTED,Quercus acutifolia,2880727,100
Quercus urbani Trel.,ACCEPTED,Quercus urbani,3906125,100
Quercus hintoniorum Nixon & C.H.Müll.,ACCEPTED,Quercus hintoniorum,2880356,100
