verbatim_name,match_status,accepted_name,usageKey,confidence
Quercus viminea,ACCEPTED,Quercus viminea,2879637,99
Quercus chrysolepis,ACCEPTED,Quercus chrysolepis,2879984,99
Quercus dumosa,ACCEPTED,Quercus dumosa,2880740,99
Quercus emoryi,ACCEPTED,Quercus emoryi,2878171,97
Quercus gambelii,ACCEPTED,Quercus gambelii,2878268,97
Quercus grisea,ACCEPTED,Quercus grisea,2879358,99
Quercus hypoleucoides,ACCEPTED,Quercus hypoleucoides,2878550,99
Quercus oblongifolia,ACCEPTED,Quercus oblongifolia,8390742,97
Quercus pungens,ACCEPTED,Quercus pungens,2878187,97
Quercus rugosa,ACCEPTED,Quercus rugosa,8386328,97
Quercus toumeyi,ACCEPTED,Quercus toumeyi,2879996,99
Quercus turbinella,ACCEPTED,Quercus turbinella,2878247,99
Quercus palmeri,ACCEPTED,Quercus palmeri,2880352,99
Quercus ajoensis,ACCEPTED,Quercus ajoensis,2878465,99
Quercus arizonica,ACCEPTED,Quercus arizonica,2877992,99
Quercus virginiana,ACCEPTED,Quercus virginiana,2878092,99
Quercus fusiformis,ACCEPTED,Quercus fusiformis,2880509,99
Quercus ilex,ACCEPTED,Quercus ilex,2879098,97
Quercus mohriana,ACCEPTED,Quercus mohriana,2880351,97
Quercus muehlenbergii,ACCEPTED,Quercus muehlenbergii,2879947,99
Quercus agrifolia,ACCEPTED,Quercus agrifolia,2880791,97
Quercus albocincta,ACCEPTED,Quercus albocincta,2881714,99
Quercus albocincta ,ACCEPTED,Quercus albocincta,2881714,99
Quercus chihuahuensis,ACCEPTED,Quercus chihuahuensis,2880884,99
Quercus chihuahuensis ,ACCEPTED,Quercus chihuahuensis,2880884,99
Quercus crassifolia,ACCEPTED,Quercus crassifolia,2878540,97
Quercus depressipes,ACCEPTED,Quercus depressipes,2878542,99
Quercus devia,ACCEPTED,Quercus devia,2877981,99
Quercus durifolia,ACCEPTED,Quercus durifolia,2881679,98
Quercus epileuca,SYNONYM,Quercus epileuca,2880780,98
Quercus magnoliifolia,ACCEPTED,Quercus magnoliifolia,2879847,99
Quercus mcvaughii,ACCEPTED,Quercus mcvaughii,3906051,99
Quercus perpallida,ACCEPTED,Quercus perpallida,2878029,99
Quercus scytophylla,ACCEPTED,Quercus scytophylla,2879486,99
Quercus sideroxyla,ACCEPTED,Quercus sideroxyla,2880775,98
Quercus subspathulata,ACCEPTED,Quercus subspathulata,2880891,99
Quercus tarahumara,ACCEPTED,Quercus tarahumara,2881117,99
Quercus tuberculata,ACCEPTED,Quercus tuberculata,2879308,99
Quercus brandegeei,ACCEPTED,Quercus brandegeei,2880008,99
Quercus x knoblochii,ACCEPTED,Quercus knoblochii,2881708,99
Quercus X knoblochii,ACCEPTED,Quercus knoblochii,2881708,99
Quercus buckleyi,ACCEPTED,Quercus buckleyi,2879863,99
Quercus kelloggii,ACCEPTED,Quercus kelloggii,2878586,99
Quercus coccinea,ACCEPTED,Quercus coccinea,8326061,98
Quercus acherdophylla,ACCEPTED,Quercus acherdophylla,2879825,99
Quercus acutifolia,ACCEPTED,Quercus acutifolia,2880727,99
Quercus affinis,ACCEPTED,Quercus affinis,2877984,97
Quercus alveolata,SYNONYM,Quercus alveolata,2878407,98
Quercus berberidifolia,ACCEPTED,Quercus berberidifolia,2878674,99
Quercus bocoynensis,SYNONYM,Quercus bocoynensis,2878543,98
Quercus bumelioides,SYNONYM,Quercus bumelioides,2878359,98
Quercus canbyi,ACCEPTED,Quercus canbyi,2878132,97
