,Cleaned_NAMES-USE-THIS,Determination_HIST_PIPED,code,fastQ.file.name,Specimen.CODE,singleTip,subgenus,section,clade,lociRetained-2018-07,collectionDate,collectors,CollNum,Georeference_source,country-georef,state_province_georef,County_georef,City_georef,site,livingCollectionsNumber,OrigSourceInfo,Original.Source-.Cultivated,latitude_georef,longitude_georef,voucher1,MOR_Acc_Num,SRA_bioproject_accession,SRA_biosample_accession,SRA_library_ID,SRA_filename,SRA_Run_Accession_RADseq,SRA_Publication,SRA_SEQUENCES.USED.IN,tip
OAKUMN150,Quercus rugosa,Q. rugosa,OAKUMN150,OAK-UMN-150,QUE000001,FALSE,subg. Quercus,Quercus,Leucomexicana,3612,40650,Jeannine Cavender-Bares,JCB-MX-MI-ZE-1,GEOLocate web app test Lago Ziraheun,Mexico,Michoacan,,,"Lago Zirahuen - on the road to the restaurant Miralago; walked up from Seccion Zirahuen, cabanas",,,F,19.453344,-101.731678,The Morton Arboretum (MOR),175909,PRJNA376740,SAMN07140962,OAK-UMN-150,OAK-UMN-150.fq.gz,SRR5632368,"McVay et al., 2017. PRSB. (white oaks)","McVay et al., 2017. PRSB. (white oaks); Hipp et al., 2018. New Phytol. (Oaks of the Americas); McVay et al., 2017.  Genome (Gambels oak); Hipp et al., 2019 (Oaks of the World)",Quercus_rugosa|Mexico|Michoacan|JCB-MX-MI-ZE-1|QUE000001
OAKUMN156,Quercus calophylla,unique spp|Q. candicans|=Quercus calophylla Schltdl. & Cham,OAKUMN156,OAK-UMN-156,QUE000008,TRUE,subg. Quercus,Lobatae,Erythromexicana,5945,40651,Jeannine Cavender-Bares,JCB-MX-MI-ZE-8,Google Earth estimate to Lago Ziraheun,Mexico,Michoacan,,,Lago Zirahuen - Seccione Alpina - on the path from the dock/restaurant up to the upper cabanas,,,F,19.453344,-101.731678,The Morton Arboretum (MOR),175895,PRJNA376740,SAMN07140963,OAK-UMN-156,OAK-UMN-156.fq.gz,SRR5632418,"Hipp et al., 2018. New Phytol. (Oaks of the Americas)","Hipp et al., 2018. New Phytol. (Oaks of the Americas); Hipp et al., 2019 (Oaks of the World)",Quercus_calophylla|Mexico|Michoacan|JCB-MX-MI-ZE-8|QUE000008
OAKUMN166,Quercus magnoliifolia,Q. resinosa?/ magnoliifolia resinosa group|Q. magnoliifolia,OAKUMN166,OAK-UMN-166,QUE000018,FALSE,subg. Quercus,Quercus,Leucomexicana,4081,40651,Jeannine Cavender-Bares,JCB-MX-MI-ZE-18,Google Earth estimate to Lago Ziraheun,Mexico,Michoacan,,,Lago Zirahuen - Seccione Alpina - on the path from the dock/restaurant up to the upper cabanas,,,F,19.453344,-101.731678,The Morton Arboretum (MOR),175890,PRJNA376740,SAMN07140964,OAK-UMN-166,OAK-UMN-166.fq.gz,SRR5632456,"McVay et al., 2017. PRSB. (white oaks)","McVay et al., 2017. PRSB. (white oaks); Hipp et al., 2018. New Phytol. (Oaks of the Americas); Hipp et al., 2019 (Oaks of the World)",Quercus_magnoliifolia|Mexico|Michoacan|JCB-MX-MI-ZE-18|QUE000018
OAKUMN173,Quercus crassipes,Q. crassipes,OAKUMN173,OAK-UMN-173,QUE000025,FALSE,subg. Quercus,Lobatae,Erythromexicana,4385,40652,Jeannine Cavender-Bares,JCB-MX-MI-SC-24,"Google Earth, mid point of road between Ziraheun and Santa Clara del Cobre",Mexico,Michoacan,,,On road from Zirahuen to Sta Clara del Cobre,,,F,19.412796,-101.70479,The Morton Arboretum (MOR),175913,PRJNA376740,SAMN07140965,OAK-UMN-173,OAK-UMN-173.fq.gz,SRR5632554,"Hipp et al., 2018. New Phytol. (Oaks of the Americas)","Hipp et al., 2018. New Phytol. (Oaks of the Americas); Hipp et al., 2019 (Oaks of the World)",Quercus_crassipes|Mexico|Michoacan|JCB-MX-MI-SC-24|QUE000025
OAKUMN180,Quercus scytophylla,Q. scytophylla Liebm.,OAKUMN180,OAK-UMN-180,QUE000033,FALSE,subg. Quercus,Lobatae,Erythromexicana,4198,40656,Jeannine Cavender-Bares,JCB-MX-MI-ES-32,"Google earth to La Escalera, MI, Mx",Mexico,Michoacan,,,La Escalera,,,F,19.466238,-100.488049,The Morton Arboretum (MOR),175910,PRJNA376740,SAMN07140966,OAK-UMN-180,OAK-UMN-180.fq.gz,SRR5632551,"Hipp et al., 2018. New Phytol. (Oaks of the Americas)","Hipp et al., 2018. New Phytol. (Oaks of the Americas); Hipp et al., 2019 (Oaks of the World)",Quercus_scytophylla|Mexico|Michoacan|JCB-MX-MI-ES-32|QUE000033
OAKUMN236,Quercus crassipes,Q. crassipes,OAKUMN236,OAK-UMN-236,QUE000089,TRUE,subg. Quercus,Lobatae,Erythromexicana,5603,40668,"Jeannine Cavender-Bares, Antonio Gonzalez-Rodriguez",JCB-MX-MI-UM-88,"Google of Umecuaro, Mexico",Mexico,Michoacan,,,Umecuaro,,,F,19.528056,-101.255556,The Morton Arboretum (MOR),175893,PRJNA376740,SAMN07140967,OAK-UMN-236,OAK-UMN-236.fq.gz,SRR5632552,"Hipp et al., 2018. New Phytol. (Oaks of the Americas)","Hipp et al., 2018. New Phytol. (Oaks of the Americas); Hipp et al., 2019 (Oaks of the World)",Quercus_crassipes|Mexico|Michoacan|JCB-MX-MI-UM-88|QUE000089
OAKUMN243,Quercus crassifolia,Q. crassifolia,OAKUMN243,OAK-UMN-243,QUE000096,FALSE,subg. Quercus,Lobatae,Erythromexicana,3127,40668,"Jeannine Cavender-Bares, Antonio Gonzalez-Rodriguez",JCB-MX-MI-AZ-95,"Google earth to Michoacan, Mexico.",Mexico,Michoacan,,,Los Azufres,,,F,19.566735,-101.706762,The Morton Arboretum (MOR),175892,PRJNA376740,SAMN07140968,OAK-UMN-243,OAK-UMN-243.fq.gz,SRR5632453,"Hipp et al., 2018. New Phytol. (Oaks of the Americas)","Hipp et al., 2018. New Phytol. (Oaks of the Americas); Hipp et al., 2019 (Oaks of the World)",Quercus_crassifolia|Mexico|Michoacan|JCB-MX-MI-AZ-95|QUE000096
OAKMOR353,Quercus michauxii,Quercus michauxii Nutt.,OAKMOR353,OAK-MOR-353,QUE000105,TRUE,subg. Quercus,Quercus,Albae,6729,41121,"Ken Potenberg, Kathy Matejka",IL-MOR-MH001 ,GPS in provenance info,USA,MO,Mississippi,,"The Morton Arboretum (DuPage County, IL, U.S.A.):Quercus L-97/89-72 ",539-96*5,"collected by: Peter J. van der Linden, The Morton Arboretum;  in picnic ground at Big Oak Tree State Park in Mississippi County Missouri U.S.A.. (36.644722, -89.285)",F,36.644722,-89.285,The Morton Arboretum (MOR),174516,PRJNA376740,SAMN06446166,OAK-MOR-353,OAK-MOR-353.fq.gz,SRR5284351,"Pham et al., 2017. Genome (plastome)","Pham et al., 2017. Genome (plastome); McVay et al., 2017. PRSB. (white oaks); Hipp et al., 2018. New Phytol. (Oaks of the Americas); Hipp et al., 2019 (Oaks of the World)",Quercus_michauxii|USA|MO|IL-MOR-MH001_|QUE000105
OAKMOR354,Quercus pagoda,Quercus pagoda Raf.,OAKMOR354,OAK-MOR-354,QUE000106,TRUE,subg. Quercus,Lobatae,Laurifoliae,7315,41008,"Marlene Hahn, Bethany Hayward Brown",IL-MOR-MH002_A.B,"Google Earth to Posey County, Indiana",USA,IN,Posey,,"The Morton Arboretum (DuPage County, IL, U.S.A.):Quercus N-103/91-44 ",700-46*1,collected by: Charles C. Deam;   in Posey County Indiana U.S.A.,F,38.000455,-87.894178,The Morton Arboretum (MOR),174528/174511,PRJNA376740,SAMN07140825,OAK-MOR-354,OAK-MOR-354.fq.gz,SRR5632579,"Hipp et al., 2018. New Phytol. (Oaks of the Americas)","Hipp et al., 2018. New Phytol. (Oaks of the Americas); Hauser et al. 2017. AJB (Agrifoliae); Hipp et al., 2019 (Oaks of the World)",Quercus_pagoda|USA|IN|IL-MOR-MH002_A.B|QUE000106
OAKMOR357,Quercus macrocarpa,Quercus macrocarpa Michx.,OAKMOR357,OAK-MOR-357,QUE000107,TRUE,subg. Quercus,Quercus,Prinoids,6420,41008,"Marlene Hahn, Bethany Hayward Brown",IL-MOR-MH003_A.B,Google earth to Sauk Trail Forest Preserve,USA,IL,Cook,,"The Morton Arboretum (DuPage County, IL, U.S.A.):Ozark P-25/12-66 ",537-82*5,"collected by: Edward A. Hedborn, The Morton Arboretum;  near Sauk Lake in Sauk Trail Forest Preserve in Cook County Illinois U.S.A.",F,41.486798,-87.799832,The Morton Arboretum (MOR),174520/174521,PRJNA376740,SAMN06446162,OAK-MOR-357,OAK-MOR-357.fq.gz,SRR5284355,"Pham et al., 2017. Genome (plastome)","Pham et al., 2017. Genome (plastome); McVay et al., 2017. PRSB. (white oaks); Hipp et al., 2018. New Phytol. (Oaks of the Americas); McVay et al., 2017.  Genome (Gambels oak); Hipp et al., 2019 (Oaks of the World)",Quercus_macrocarpa|USA|IL|IL-MOR-MH003_A.B|QUE000107
OAKMOR358,Quercus palustris,Quercus palustris Mϋnchh.,OAKMOR358,OAK-MOR-358,QUE000108,TRUE,subg. Quercus,Lobatae,Palustres,6854,41107,"Ken Potenberg, Kathy Matejka, Joan Dorrell",IL-MOR-MH004 ,"Google Earth to Mississippi river in Henderson Co., IL",USA,IL,Henderson,,"The Morton Arboretum (DuPage County, IL, U.S.A.):Midwest N-58/78-66 ",467-85*1,"collected by: Raymond F. Schulenberg, The Morton Arboretum;  from island in the Mississippi River  in Henderson County Illinois U.S.A.",F,40.842163,-91.080078,The Morton Arboretum (MOR),174523,PRJNA376740,SAMN07140826,OAK-MOR-358,OAK-MOR-358.fq.gz,SRR5632440,"Hipp et al., 2018. New Phytol. (Oaks of the Americas)","Hipp et al., 2018. New Phytol. (Oaks of the Americas); Hauser et al. 2017. AJB (Agrifoliae); Hipp et al., 2019 (Oaks of the World)",Quercus_palustris|USA|IL|IL-MOR-MH004_|QUE000108
OAKMOR699,Quercus palustris,Quercus palustris Mϋnchh.,OAKMOR699,OAK-MOR-699.fq.barcodeStripped,QUE000109,FALSE,subg. Quercus,Lobatae,Palustres,6708,41100,"Ken Potenberg, Gladys Connolly, Kathy Matejka, Joan Dorrell",IL-MOR-MH005 ,"Google earth to Fayette County, KY",USA,KY,Fayette,,"The Morton Arboretum (DuPage County, IL, U.S.A.):Quercus along forest road:  M-89/98-25 ",573-40*3,collected in Fayette County Kentucky U.S.A.,F,38.052609,-84.472162,The Morton Arboretum (MOR),174517,PRJNA376740,SAMN07140914,OAK-MOR-699,OAK-MOR-699.fq.barcodeStripped.fq.gz,SRR5632584,"Hipp et al., 2018. New Phytol. (Oaks of the Americas)","Hipp et al., 2018. New Phytol. (Oaks of the Americas); Hipp et al., 2019 (Oaks of the World)",Quercus_palustris|USA|KY|IL-MOR-MH005_|QUE000109
OAKMOR352,Quercus montana,Quercus montana Willd.,OAKMOR352,OAK-MOR-352,QUE000111,FALSE,subg. Quercus,Quercus,Albae,4596,41123,"Marlene Hahn, Donna J Wetta, Breane G. Budaitis, Becky Ventura",IL-MOR-MH007 ,GPS in provenance info,USA,VA,Franklin,,"The Morton Arboretum (DuPage County, IL, U.S.A.):App: BB-76/00-54 ",606-2000*1,"collected by: Midwest Plant Collecting Collaborative (MWPCC) 2000 southeast Un;  on Cahas Mt. in Franklin County Virginia U.S.A. (37.141444, -79.995722 )",F,37.141444,-79.995722,The Morton Arboretum (MOR),174846,PRJNA376740,SAMN06446173,OAK-MOR-352,OAK-MOR-352.fq.gz,SRR5284344,"Pham et al., 2017. Genome (plastome)","Pham et al., 2017. Genome (plastome); McVay et al., 2017. PRSB. (white oaks); Hipp et al., 2018. New Phytol. (Oaks of the Americas); McVay et al., 2017.  Genome (Gambels oak); Hipp et al., 2019 (Oaks of the World)",Quercus_montana|USA|VA|IL-MOR-MH007_|QUE000111
OAKMOR351,Quercus petraea ssp. iberica,Quercus polycarpa Schur|Quercus petraea ssp. iberica,OAKMOR351,OAK-MOR-351,QUE000113,FALSE,subg. Quercus,Quercus,Roburoids,4614,41100,"Ken Potenberg, Gladys Connolly, Kathy Matejka, Joan Dorrell",IL-MOR-MH009  ,Google Earth to Hranice in Prerov District.,Czech Republic,North Moravia,,,"The Morton Arboretum (DuPage County, IL, U.S.A.):Quercus:  K-96/64-56 ",258-2004*2,"collected in Jesenicke podhuri Mts. at Lhotka village, near Hranice na Morave  in Prerov District North Moravia Czech Republic. (300 m)",F,49.779633,18.485583,The Morton Arboretum (MOR),174515,PRJNA376740,SAMN07140824,OAK-MOR-351,OAK-MOR-351.fq.gz,SRR5632541,"McVay et al., 2017. PRSB. (white oaks)","McVay et al., 2017. PRSB. (white oaks); Hipp et al., 2018. New Phytol. (Oaks of the Americas); Hipp et al., 2019 (Oaks of the World)",Quercus_petraea_ssp._iberica|Czech_Republic|North_Moravia|IL-MOR-MH009__|QUE000113
OAKMOR698,Quercus aliena,Quercus aliena Blume,OAKMOR698,OAK-MOR-698.fq.barcodeStripped,QUE000115,FALSE,subg. Quercus,Quercus,Roburoids,4028,41100,"Anita Casey, Louise Sherman, Lee Bannon",IL-MOR-MH011,GPS in provenance info,China, Shanxi,Yang Cheng,,"The Morton Arboretum (DuPage County, IL, U.S.A.):Quercus: L-98/69-80    ",340-2002*1,"collected by: North America-China Plant Exploration Consortium (NACPEC) 2002 S;  near Huang Sha Ling, Yang Cheng Xian in Yang Cheng County Shanxi China. (35.270167, 112.460167, 3308 ft)",F,35.270167,112.460167,The Morton Arboretum (MOR),174527,PRJNA376740,SAMN07140913,OAK-MOR-698,OAK-MOR-698.fq.barcodeStripped.fq.gz,SRR5632585,"McVay et al., 2017. PRSB. (white oaks)","McVay et al., 2017. PRSB. (white oaks); Hipp et al., 2018. New Phytol. (Oaks of the Americas); Hipp et al., 2019 (Oaks of the World)",Quercus_aliena|China|_Shanxi|IL-MOR-MH011|QUE000115
