coreid,identifiedBy,dateIdentified,identificationQualifier,scientificName,tidInterpreted,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordID,modified
774311,unknown,s.d.,,"Quercus viminea",505,Trel.,Quercus,viminea,,,,,urn:uuid:8bb620b6-fe2b-4c7d-b412-fecc8bd7d472,"2023-07-16 05:07:11"
774320,unknown,s.d.,,"Quercus viminea",505,Trel.,Quercus,viminea,,,,,urn:uuid:89efb244-ec2c-4566-ba41-7a1982d20a2e,"2023-07-16 05:07:11"
1849284,"J. A. Encina",s.d.,,"Quercus viminea",505,Trel.,Quercus,viminea,,,,,urn:uuid:6d19ac42-0f7e-412b-b311-8c76741a0784,"2023-07-16 05:07:11"
1849980,"E. Lehto",s.d.,,"Quercus viminea",505,Trel.,Quercus,viminea,,,,,urn:uuid:1ad113cd-ddc7-4601-8779-f4da3f1aceea,"2023-07-16 05:07:11"
1849981,Tucker,s.d.,,"Quercus viminea",505,Trel.,Quercus,viminea,,,,,urn:uuid:f4a568f1-2a48-4079-96f0-5181ac071bb8,"2023-07-16 05:07:11"
1849982,unknown,s.d.,,"Quercus viminea",505,Trel.,Quercus,viminea,,,,,urn:uuid:68758bcb-2cf0-4466-b0a9-8728e2cabac1,"2023-07-16 05:07:11"
1849983,"E. Lehto",s.d.,,"Quercus viminea",505,Trel.,Quercus,viminea,,,,,urn:uuid:7441123d-1864-4df0-9906-13dea596b574,"2023-07-16 05:07:11"
1849984,unknown,s.d.,,"Quercus viminea",505,Trel.,Quercus,viminea,,,,,urn:uuid:c2630374-03cc-4c9b-a83d-f723679ef5b7,"2023-07-16 05:07:11"
1849985,"J. A. Encina",s.d.,,"Quercus viminea",505,Trel.,Quercus,viminea,,,,,urn:uuid:772e2c69-af5b-41af-9615-a63e36979c3c,"2023-07-16 05:07:11"
1849987,unknown,s.d.,,"Quercus viminea",505,Trel.,Quercus,viminea,,,,,urn:uuid:6755289b-82c7-497b-b15d-0bbdc68724d3,"2023-07-16 05:07:11"
1849988,unknown,s.d.,,"Quercus viminea",505,Trel.,Quercus,viminea,,,,,urn:uuid:cb9548ce-d22c-472a-910e-6820b2baaf54,"2023-07-16 05:07:11"
2146347,unknown,s.d.,,"Quercus viminea",505,Trel.,Quercus,viminea,,,,,urn:uuid:b27501bd-221e-4033-b99e-41ac96c2efc8,"2023-07-16 05:07:11"
3001393,unknown,s.d.,,"Quercus viminea",505,Trel.,Quercus,viminea,,,,,urn:uuid:0e6997a1-7b27-4cd1-a9ac-ae8a16ef2a7d,"2023-07-16 05:07:11"
4890770,unknown,s.d.,,"Quercus viminea",505,Trel.,Quercus,viminea,,,,,urn:uuid:c00b41b0-1dfd-4eb8-9f6e-c6c145606d29,"2023-07-16 05:07:11"
12528820,unknown,s.d.,,"Quercus viminea",505,Trel.,Quercus,viminea,,,,,urn:uuid:6f088bd3-b6a5-4fbc-b014-0567e66025cf,"2023-07-16 05:07:11"
20354741,unknown,s.d.,,"Quercus viminea",505,Trel.,Quercus,viminea,,,,,urn:uuid:29054f29-59b4-4f8c-bc61-e3ca27623612,"2023-07-16 05:07:11"
26781695,unknown,s.d.,,"Quercus viminea",505,Trel.,Quercus,viminea,,,,,urn:uuid:717f5ac7-c437-47cb-8a83-230a87b498a1,"2023-07-16 05:07:11"
26781746,unknown,s.d.,,"Quercus viminea",505,Trel.,Quercus,viminea,,,,,urn:uuid:6de3d0ae-caa5-41f6-a316-e830880e6944,"2023-07-16 05:07:11"
30590317,unknown,s.d.,,"Quercus viminea",505,Trel.,Quercus,viminea,,,,,urn:uuid:450b6a87-2dc7-4fd0-a9f7-5befd7806814,"2023-07-16 05:07:11"
1849256,unknown,s.d.,,"Quercus chrysolepis",3224,Liebm.,Quercus,chrysolepis,,,,,urn:uuid:f609d04c-1e66-49a0-8414-a9e222fb89ff,"2023-07-16 05:07:11"
1849293,unknown,s.d.,,"Quercus dumosa",3233,Nutt.,Quercus,dumosa,,,,,urn:uuid:51b75bb5-6a7d-43ef-bff2-07d80a39f5dc,"2023-07-16 05:07:11"
1849294,unknown,s.d.,,"Quercus dumosa",3233,Nutt.,Quercus,dumosa,,,,,urn:uuid:3a0439fe-d891-4d8c-8e5e-d03d5f6acf23,"2023-07-16 05:07:11"
1849295,unknown,s.d.,,"Quercus dumosa",3233,Nutt.,Quercus,dumosa,,,,,urn:uuid:895edfa2-ef0e-4f73-8bf8-bfe29e404015,"2023-07-16 05:07:11"
1849296,unknown,s.d.,,"Quercus dumosa",3233,Nutt.,Quercus,dumosa,,,,,urn:uuid:ad906380-73b3-4f2f-9e34-82a0fa26cabb,"2023-07-16 05:07:11"
1853247,unknown,s.d.,,"Quercus dumosa",3233,Nutt.,Quercus,dumosa,,,,,urn:uuid:f5f86f65-92c8-4e15-b0f6-7327a3f171d1,"2023-07-16 05:07:11"
1849310,unknown,s.d.,,"Quercus emoryi",3234,Torr.,Quercus,emoryi,,,,,urn:uuid:e604459b-7dfb-4f3f-a405-9a51afc7e426,"2023-07-16 05:07:11"
1849311,unknown,s.d.,,"Quercus emoryi",3234,Torr.,Quercus,emoryi,,,,,urn:uuid:793c4431-39a4-497f-9148-d30367f8bd0b,"2023-07-16 05:07:11"
1849312,"E. Lehto",s.d.,,"Quercus emoryi",3234,Torr.,Quercus,emoryi,,,,,urn:uuid:74714c4c-8666-4fce-9282-a3f94606b8a7,"2023-07-16 05:07:11"
21904384,unknown,s.d.,,"Quercus emoryi",3234,Torr.,Quercus,emoryi,,,,,urn:uuid:fa0e62f2-3605-4460-aaa4-a14719dfb149,"2023-07-16 05:07:11"
26781696,unknown,s.d.,,"Quercus emoryi",3234,Torr.,Quercus,emoryi,,,,,urn:uuid:6bb88a64-e56a-4240-a5e9-ab392df18459,"2023-07-16 05:07:11"
30587854,unknown,s.d.,,"Quercus emoryi",3234,Torr.,Quercus,emoryi,,,,,urn:uuid:612599ba-a6cb-4660-a5db-2c2beebc5a30,"2023-07-16 05:07:11"
1849215,"J. A. Encina",s.d.,,"Quercus grisea",3238,Liebm.,Quercus,grisea,,,,,urn:uuid:aab80892-1866-4aca-9a46-1e6bbe3092b4,"2023-07-16 05:07:11"
1849341,"F. García S.",s.d.,,"Quercus grisea",3238,Liebm.,Quercus,grisea,,,,,urn:uuid:4d0da738-b5c7-4154-ab6e-dd4f043c6dd3,"2023-07-16 05:07:11"
1849342,"J. A. Encina",s.d.,,"Quercus grisea",3238,Liebm.,Quercus,grisea,,,,,urn:uuid:4b421f43-e5d4-4cc9-a9b1-999dfde0d887,"2023-07-16 05:07:11"
1849343,"E. Estrada",s.d.,,"Quercus grisea",3238,Liebm.,Quercus,grisea,,,,,urn:uuid:13ae6bbb-1972-4831-97df-e6944e1f9583,"2023-07-16 05:07:11"
