"","geometry","elevation","elev_units"
"1",c(-108.7530556, 28.38305556),1404,"meters"
"2",c(-109.0944444, 28.39722222),1146,"meters"
"3",c(-109.05, 28.36666667),1569,"meters"
"4",c(-109.75, 28.35),625,"meters"
"5",c(-107.75972, 27.37222),1954,"meters"
"6",c(-108.06361, 26.70639),1105,"meters"
"7",c(-108.5, 28.5),1746,"meters"
"8",c(-110.8, 30.46667),1201,"meters"
"9",c(-110.168, 29.105),1081,"meters"
"10",c(-107.940817, 27.234683),1777,"meters"
"11",c(-108.3944, 28.17778),1716,"meters"
"12",c(-108.65, 27.23333),1291,"meters"
"13",c(-105.8833, 23.58333),1258,"meters"
"14",c(-109.908333, 30.875),1901,"meters"
"15",c(-108.975, 26.98333),815,"meters"
"16",c(-108.705, 27.11),1213,"meters"
"17",c(-109.0722, 28.3),1418,"meters"
"18",c(-108.4, 28.18333),1716,"meters"
"19",c(-108.95, 28.01667),1853,"meters"
"20",c(-108.2833, 28.11111),1952,"meters"
"21",c(-108.9767, 26.92167),786,"meters"
"22",c(-111.0603, 31.14083),1411,"meters"
"23",c(-108.5228, 28.43583),1588,"meters"
"24",c(-104.7561, 24.26694),2130,"meters"
"25",c(-108.7217, 28.17167),1835,"meters"
"26",c(-108.5583, 28.4),1620,"meters"
"27",c(-108.4333, 28.45),1712,"meters"
"28",c(-109.0944, 28.39722),1146,"meters"
"29",c(-109.15361, 29.44139),814,"meters"
"30",c(-108.94083, 31.19056),1505,"meters"
"31",c(-109.22222, 30.58806),1819,"meters"
"32",c(-110.750556, 30.644014),1431,"meters"
"33",c(-109.54423, 30.01425),1524,"meters"
"34",c(-109.55055, 30.0307),1410,"meters"
"35",c(-109.5363, 30.01037),1524,"meters"
"36",c(-109.54259, 30.03091),1410,"meters"
"37",c(-109.55049, 29.95115),1597,"meters"
"38",c(-109.54315, 29.95901),1597,"meters"
"39",c(-109.20111, 30.56167),1819,"meters"
"40",c(-109.22389, 30.60056),1819,"meters"
"41",c(-109.27917, 30.57194),1138,"meters"
"42",c(-109.26806, 30.57694),1477,"meters"
"43",c(-109.25139, 30.57917),1477,"meters"
"44",c(-109.48167, 29.92861),1683,"meters"
"45",c(-109.48833, 29.92611),1683,"meters"
"46",c(-108.295833, 28.166944),2215,"meters"
"47",c(-108.812007, 28.32704),1735,"meters"
"48",c(-107.743268, 27.025457),1104,"meters"
"49",c(-108.926899, 28.371576),1614,"meters"
"50",c(-109.797466, 27.73769),121,"meters"
"51",c(-108.5, 28.2167),1131,"meters"
"52",c(-109.194, 28.4944),939,"meters"
"53",c(-109.050278, 29.796667),1260,"meters"
"54",c(-110.36889, 30.32694),1491,"meters"
"55",c(-110.38056, 30.32944),1491,"meters"
"56",c(-108.99417, 29.84806),1804,"meters"
"57",c(-109.00361, 29.82917),1816,"meters"
"58",c(-109.00278, 29.83056),1816,"meters"
"59",c(-108.696111, 27.581389),1336,"meters"
"60",c(-110.380556, 30.329167),1491,"meters"
