"","nombre_autor","kingdom","id"
"1","Quercus viminea Trel.","Plantae",278167
"2","Quercus viminea Trel.","Plantae",279140
"3","Quercus viminea Trel.","Plantae",282703
"4","Quercus viminea Trel.","Plantae",286360
"5","Quercus viminea Trel.","Plantae",392689
"6","Quercus viminea Trel.","Plantae",392690
"7","Quercus viminea Trel.","Plantae",392691
"8","Quercus viminea Trel.","Plantae",392692
"9","Quercus viminea Trel.","Plantae",774311
"10","Quercus viminea Trel.","Plantae",774320
"11","Quercus viminea Trel.","Plantae",860431
"12","Quercus viminea Trel.","Plantae",960172
"13","Quercus viminea Trel.","Plantae",975481
"14","Quercus viminea Trel.","Plantae",975482
"15","Quercus viminea Trel.","Plantae",975483
"16","Quercus viminea Trel.","Plantae",975484
"17","Quercus viminea Trel.","Plantae",975485
"18","Quercus viminea Trel.","Plantae",975486
"19","Quercus viminea Trel.","Plantae",975487
"20","Quercus viminea Trel.","Plantae",975488
"21","Quercus viminea Trel.","Plantae",975489
"22","Quercus viminea Trel.","Plantae",975490
"23","Quercus viminea Trel.","Plantae",975491
"24","Quercus viminea Trel.","Plantae",975492
"25","Quercus viminea Trel.","Plantae",975493
"26","Quercus viminea Trel.","Plantae",975494
"27","Quercus viminea Trel.","Plantae",975495
"28","Quercus viminea Trel.","Plantae",975496
"29","Quercus viminea Trel.","Plantae",975497
"30","Quercus viminea Trel.","Plantae",975498
"31","Quercus viminea Trel.","Plantae",975499
"32","Quercus viminea Trel.","Plantae",975500
"33","Quercus viminea Trel.","Plantae",975501
"34","Quercus viminea Trel.","Plantae",975502
"35","Quercus viminea Trel.","Plantae",975503
"36","Quercus viminea Trel.","Plantae",975504
"37","Quercus viminea Trel.","Plantae",975505
"38","Quercus viminea Trel.","Plantae",975506
"39","Quercus viminea Trel.","Plantae",975507
"40","Quercus viminea Trel.","Plantae",975508
"41","Quercus viminea Trel.","Plantae",975509
"42","Quercus viminea Trel.","Plantae",975510
"43","Quercus viminea Trel.","Plantae",975511
"44","Quercus viminea Trel.","Plantae",975512
"45","Quercus viminea Trel.","Plantae",975513
"46","Quercus viminea Trel.","Plantae",975514
"47","Quercus viminea Trel.","Plantae",975515
"48","Quercus viminea Trel.","Plantae",975516
"49","Quercus viminea Trel.","Plantae",975517
"50","Quercus viminea Trel.","Plantae",975518
"51","Quercus viminea Trel.","Plantae",975519
"52","Quercus viminea Trel.","Plantae",975520
"53","Quercus viminea Trel.","Plantae",975521
"54","Quercus viminea Trel.","Plantae",975522
"55","Quercus viminea Trel.","Plantae",975523
"56","Quercus viminea Trel.","Plantae",975524
"57","Quercus viminea Trel.","Plantae",975525
"58","Quercus viminea Trel.","Plantae",975526
"59","Quercus viminea Trel.","Plantae",975527
"60","Quercus viminea Trel.","Plantae",975528
"61","Quercus viminea Trel.","Plantae",975529
"62","Quercus viminea Trel.","Plantae",975530
"63","Quercus viminea Trel.","Plantae",975531
"64","Quercus viminea Trel.","Plantae",975532
"65","Quercus viminea Trel.","Plantae",1000528
"66","Quercus viminea Trel.","Plantae",1000772
"67","Quercus viminea Trel.","Plantae",1005030
"68","Quercus viminea Trel.","Plantae",1005298
"69","Quercus viminea Trel.","Plantae",1006378
"70","Quercus viminea Trel.","Plantae",1006462
"71","Quercus viminea Trel.","Plantae",1006471
"72","Quercus viminea Trel.","Plantae",1006480
"73","Quercus viminea Trel.","Plantae",1006487
"74","Quercus viminea Trel.","Plantae",1006491
"75","Quercus viminea Trel.","Plantae",1006498
"76","Quercus viminea Trel.","Plantae",1107662
"77","Quercus viminea Trel.","Plantae",1107680
"78","Quercus viminea Trel.","Plantae",1107771
"79","Quercus viminea Trel.","Plantae",1107851
"80","Quercus viminea Trel.","Plantae",1107919
"81","Quercus viminea Trel.","Plantae",1126807
"82","Quercus viminea Trel.","Plantae",1126856
"83","Quercus viminea Trel.","Plantae",1849284
"84","Quercus viminea Trel.","Plantae",1849980
"85","Quercus viminea Trel.","Plantae",1849981
"86","Quercus viminea Trel.","Plantae",1849982
"87","Quercus viminea Trel.","Plantae",1849983
"88","Quercus viminea Trel.","Plantae",1849984
"89","Quercus viminea Trel.","Plantae",1849985
"90","Quercus viminea Trel.","Plantae",1849987
"91","Quercus viminea Trel.","Plantae",1849988
"92","Quercus viminea Trel.","Plantae",1907667
"93","Quercus viminea Trel.","Plantae",1964415
"94","Quercus viminea Trel.","Plantae",1964416
"95","Quercus viminea Trel.","Plantae",2025518
"96","Quercus viminea Trel.","Plantae",2025611
"97","Quercus viminea Trel.","Plantae",2036658
"98","Quercus viminea Trel.","Plantae",2036719
"99","Quercus viminea Trel.","Plantae",2036726
"100","Quercus viminea Trel.","Plantae",2036729
"101","Quercus viminea Trel.","Plantae",2064155
"102","Quercus viminea Trel.","Plantae",2140594
"103","Quercus viminea Trel.","Plantae",2143415
"104","Quercus viminea Trel.","Plantae",2143424
"105","Quercus viminea Trel.","Plantae",2143436
"106","Quercus viminea Trel.","Plantae",2143486
"107","Quercus viminea Trel.","Plantae",2146347
"108","Quercus viminea Trel.","Plantae",2474430
"109","Quercus viminea Trel.","Plantae",2474555
"110","Quercus viminea Trel.","Plantae",2474581
"111","Quercus viminea Trel.","Plantae",2474582
"112","Quercus viminea Trel.","Plantae",2474583
"113","Quercus viminea Trel.","Plantae",2474584
"114","Quercus viminea Trel.","Plantae",2474599
"115","Quercus viminea Trel.","Plantae",2474627
"116","Quercus viminea Trel.","Plantae",2474635
"117","Quercus viminea Trel.","Plantae",2474643
"118","Quercus viminea Trel.","Plantae",2474692
"119","Quercus viminea Trel.","Plantae",2474713
"120","Quercus viminea Trel.","Plantae",2474726
"121","Quercus viminea Trel.","Plantae",2474735
"122","Quercus viminea Trel.","Plantae",2474759
"123","Quercus viminea Trel.","Plantae",2474826
"124","Quercus viminea Trel.","Plantae",2474827
"125","Quercus viminea Trel.","Plantae",2474828
"126","Quercus viminea Trel.","Plantae",2474829
"127","Quercus viminea Trel.","Plantae",2474837
"128","Quercus viminea Trel.","Plantae",2475642
"129","Quercus viminea Trel.","Plantae",2475643
"130","Quercus viminea Trel.","Plantae",2475644
"131","Quercus viminea Trel.","Plantae",2477193
"132","Quercus viminea Trel.","Plantae",2492363
"133","Quercus viminea Trel.","Plantae",2493049
"134","Quercus viminea Trel.","Plantae",3001393
"135","Quercus viminea Trel.","Plantae",3001619
"136","Quercus viminea Trel.","Plantae",3001620
"137","Quercus viminea Trel.","Plantae",3069963
"138","Quercus viminea Trel.","Plantae",3090850
"139","Quercus viminea Trel.","Plantae",3090854
"140","Quercus viminea Trel.","Plantae",3090857
"141","Quercus viminea Trel.","Plantae",3100377
"142","Quercus viminea Trel.","Plantae",3102035
"143","Quercus viminea Trel.","Plantae",3135610
"144","Quercus viminea Trel.","Plantae",3135790
"145","Quercus viminea Trel.","Plantae",3135792
"146","Quercus viminea Trel.","Plantae",3136148
"147","Quercus viminea Trel.","Plantae",3136171
"148","Quercus viminea Trel.","Plantae",3136195
"149","Quercus viminea Trel.","Plantae",3136196
"150","Quercus viminea Trel.","Plantae",3136203
"151","Quercus viminea Trel.","Plantae",3136206
"152","Quercus viminea Trel.","Plantae",3136207
"153","Quercus viminea Trel.","Plantae",3136457
"154","Quercus viminea Trel.","Plantae",3136627
"155","Quercus viminea Trel.","Plantae",3136868
"156","Quercus viminea Trel.","Plantae",3136936
"157","Quercus viminea Trel.","Plantae",3137097
"158","Quercus viminea Trel.","Plantae",3137107
"159","Quercus viminea Trel.","Plantae",3137161
"160","Quercus viminea Trel.","Plantae",3137173
"161","Quercus viminea Trel.","Plantae",3137216
"162","Quercus viminea Trel.","Plantae",3137313
"163","Quercus viminea Trel.","Plantae",3137316
"164","Quercus viminea Trel.","Plantae",3137330
"165","Quercus viminea Trel.","Plantae",3137623
"166","Quercus viminea Trel.","Plantae",3137664
"167","Quercus viminea Trel.","Plantae",3137681
"168","Quercus viminea Trel.","Plantae",3137697
"169","Quercus viminea Trel.","Plantae",3137702
"170","Quercus viminea Trel.","Plantae",3137851
"171","Quercus viminea Trel.","Plantae",3138931
"172","Quercus viminea Trel.","Plantae",3139051
"173","Quercus viminea Trel.","Plantae",3139078
"174","Quercus viminea Trel.","Plantae",3139676
"175","Quercus viminea Trel.","Plantae",3139677
"176","Quercus viminea Trel.","Plantae",3139766
"177","Quercus viminea Trel.","Plantae",3139767
"178","Quercus viminea Trel.","Plantae",3140108
"179","Quercus viminea Trel.","Plantae",3140127
"180","Quercus viminea Trel.","Plantae",3140974
"181","Quercus viminea Trel.","Plantae",3141930
"182","Quercus viminea Trel.","Plantae",3142300
"183","Quercus viminea Trel.","Plantae",3142931
"184","Quercus viminea Trel.","Plantae",3143042
"185","Quercus viminea Trel.","Plantae",3143115
"186","Quercus viminea Trel.","Plantae",3143140
"187","Quercus viminea Trel.","Plantae",3143142
"188","Quercus viminea Trel.","Plantae",3143694
"189","Quercus viminea Trel.","Plantae",3143745
"190","Quercus viminea Trel.","Plantae",3144685
"191","Quercus viminea Trel.","Plantae",3144732
"192","Quercus viminea Trel.","Plantae",3150449
"193","Quercus viminea Trel.","Plantae",3152654
"194","Quercus viminea Trel.","Plantae",3152669
"195","Quercus viminea Trel.","Plantae",3160808
"196","Quercus viminea Trel.","Plantae",3160809
"197","Quercus viminea Trel.","Plantae",3164859
"198","Quercus viminea Trel.","Plantae",3166755
"199","Quercus viminea Trel.","Plantae",3167340
"200","Quercus viminea Trel.","Plantae",3168021
"201","Quercus viminea Trel.","Plantae",3197776
"202","Quercus viminea Trel.","Plantae",3197777
"203","Quercus viminea Trel.","Plantae",3237659
"204","Quercus viminea Trel.","Plantae",3241347
"205","Quercus viminea Trel.","Plantae",3241429
"206","Quercus viminea Trel.","Plantae",3241431
"207","Quercus viminea Trel.","Plantae",3242072
"208","Quercus viminea Trel.","Plantae",3246896
"209","Quercus viminea Trel.","Plantae",3258745
"210","Quercus viminea Trel.","Plantae",3295699
"211","Quercus viminea Trel.","Plantae",3370124
"212","Quercus viminea Trel.","Plantae",3387915
"213","Quercus viminea Trel.","Plantae",3387989
"214","Quercus viminea Trel.","Plantae",3411276
"215","Quercus viminea Trel.","Plantae",3411277
"216","Quercus viminea Trel.","Plantae",3411278
"217","Quercus viminea Trel.","Plantae",3411279
"218","Quercus viminea Trel.","Plantae",3411280
"219","Quercus viminea Trel.","Plantae",3411281
"220","Quercus viminea Trel.","Plantae",3439446
"221","Quercus viminea Trel.","Plantae",3439517
"222","Quercus viminea Trel.","Plantae",3829870
"223","Quercus viminea Trel.","Plantae",3831665
"224","Quercus viminea Trel.","Plantae",3831744
"225","Quercus viminea Trel.","Plantae",4079337
"226","Quercus viminea Trel.","Plantae",4339072
"227","Quercus viminea Trel.","Plantae",4339073
"228","Quercus viminea Trel.","Plantae",4339074
"229","Quercus viminea Trel.","Plantae",4339075
"230","Quercus viminea Trel.","Plantae",4339076
"231","Quercus viminea Trel.","Plantae",4339077
"232","Quercus viminea Trel.","Plantae",4339078
"233","Quercus viminea Trel.","Plantae",4339079
"234","Quercus viminea Trel.","Plantae",4339080
"235","Quercus viminea Trel.","Plantae",4339081
"236","Quercus viminea Trel.","Plantae",4339082
"237","Quercus viminea Trel.","Plantae",4339083
"238","Quercus viminea Trel.","Plantae",4339084
"239","Quercus viminea Trel.","Plantae",4339085
"240","Quercus viminea Trel.","Plantae",4339086
"241","Quercus viminea Trel.","Plantae",4339087
"242","Quercus viminea Trel.","Plantae",4339088
"243","Quercus viminea Trel.","Plantae",4339089
"244","Quercus viminea Trel.","Plantae",4339972
"245","Quercus viminea Trel.","Plantae",4340005
