"","ID","wc2.1_2.5m_bio_12","wc2.1_2.5m_bio_1","elevacion"
"1",1,909,17.3706665039062,1404
"2",2,890,18.3290004730225,1146
"3",3,970,16.2630004882812,1569
"4",4,682,22.2865009307861,625
"5",5,923,19.0144996643066,1954
"6",6,873,23.339334487915,1105
"7",7,956,14.4726667404175,1746
"8",8,521,18.5203342437744,1201
"9",9,758,18.0381660461426,1081
"10",10,904,21.2810001373291,1777
"11",11,1065,14.9166669845581,1716
"12",12,886,19.8974990844727,1291
"13",13,1240,18.8125,1258
"14",14,627,13.5815000534058,1901
"15",15,770,20.9583339691162,815
"16",16,824,21.5243339538574,1213
"17",17,1035,14.9218330383301,1418
"18",18,1065,14.9166669845581,1716
"19",19,1044,15.7183332443237,1853
"20",20,872,17.4558334350586,1952
"21",21,673,22.0943336486816,786
"22",22,553,16.4603328704834,1411
"23",23,912,15.8280000686646,1588
"24",24,571,15.5853328704834,2130
"25",25,1079,14.8933334350586,1835
"26",26,968,15.3295001983643,1620
"27",27,962,14.5593328475952,1712
"28",28,890,18.3290004730225,1146
"29",29,542,21.0573329925537,814
"30",30,413,14.9844999313354,1505
"31",31,575,15.2058334350586,1819
"32",32,602,16.3621673583984,1431
"33",33,750,15.7585000991821,1524
"34",34,750,15.7585000991821,1410
"35",35,674,17.1205005645752,1524
"36",36,750,15.7585000991821,1410
"37",37,684,17.304666519165,1597
"38",38,734,16.2719993591309,1597
"39",39,629,13.6383333206177,1819
"40",40,575,15.2058334350586,1819
"41",41,537,16.619499206543,1138
"42",42,537,16.619499206543,1477
"43",43,537,16.619499206543,1477
"44",44,696,16.9190006256104,1683
"45",45,696,16.9190006256104,1683
"46",46,1042,11.8944997787476,2215
"47",47,998,15.731333732605,1735
"48",48,781,23.5865001678467,1104
"49",49,992,15.7408332824707,1614
"50",50,422,24.8303337097168,121
"51",51,836,18.7506656646729,1131
"52",52,785,20.287166595459,939
"53",53,671,18.0503330230713,1260
"54",54,618,16.8588333129883,1491
"55",55,654,16.3373336791992,1491
"56",56,840,14.666166305542,1804
"57",57,775,16.1966667175293,1816
"58",58,775,16.1966667175293,1816
"59",59,908,19.1436672210693,1336
"60",60,654,16.3373336791992,1491
"61",61,775,16.1966667175293,1816
"62",62,840,14.666166305542,1816
"63",63,840,14.666166305542,1816
"64",64,553,16.4603328704834,1411
"65",65,629,13.6383333206177,1819
"66",66,627,13.5815000534058,1901
"67",67,585,15.5825004577637,1501
"68",68,585,15.5825004577637,1369
"69",69,585,15.5825004577637,1501
"70",70,581,15.9008331298828,1501
"71",71,557,18.0981674194336,1216
"72",72,656,15.0943336486816,1563
"73",73,648,14.783166885376,1731
"74",74,629,13.6383333206177,1761
"75",75,582,15.2573328018188,1819
"76",76,582,15.2573328018188,1819
"77",77,628,15.2801666259766,1575
"78",78,684,15.7209997177124,1477
"79",79,692,15.5745000839233,1599
"80",80,1007,15.5063333511353,1656
"81",81,843,20.6251659393311,1189
"82",82,968,15.5488328933716,1577
"83",83,840,14.666166305542,1661
"84",84,840,14.666166305542,1661
"85",85,775,16.1966667175293,1522
"86",86,1036,14.7923336029053,1725
"87",87,576,16.345666885376,1625
"88",88,1028,15.2036666870117,1901
"89",89,611,19.6206665039062,1039
"90",90,840,14.666166305542,1661
"91",91,912,15.8280000686646,1588
"92",92,780,13.6625003814697,1536
